E	Esq	M	Msq	N_tot
0.0	0.0	0.0	0.0	0.0
-3.281394239592143	10.7675481556285	-0.5	0.25	1.0
-0.9999999999999964	0.9999999999999929	-0.5	0.25	1.0
-0.7718762712375331	0.5957929780995578	-0.5	0.25	1.0
0.512485972156324	0.26264187165701247	-0.5	0.25	1.0
1.0000000000000022	1.0000000000000044	-0.5	0.25	1.0
1.5407845386733645	2.374016994614893	-0.5	0.25	1.0
1.9999999999999998	3.999999999999999	-0.5	0.25	1.0
-4.281394239592142	18.330336634812777	-1.0	1.0	2.0
-4.053270510829686	16.42900183396154	-1.0	1.0	2.0
-2.768908267435824	7.666852993474456	-1.0	1.0	2.0
-2.28139423959215	5.204759676444244	-1.0	1.0	2.0
-1.7718762712375349	3.13954552057463	-1.0	1.0	2.0
-1.7406097009187884	3.029722130932594	-1.0	1.0	2.0
-1.2813942395921454	1.6419711972599325	-1.0	1.0	2.0
-0.48751402784367537	0.23766992734436387	-1.0	1.0	2.0
-0.25939029908121203	0.06728332725744063	-1.0	1.0	2.0
4.440892098500626e-16	1.9721522630525295e-31	-1.0	1.0	2.0
0.22812372876246556	0.052040435624490955	-1.0	1.0	2.0
0.5407845386733667	0.2924479172681661	-1.0	1.0	2.0
0.7689082674358279	0.5912199237311666	-1.0	1.0	2.0
1.0000000000000009	1.0000000000000018	-1.0	1.0	2.0
1.2281237287624633	1.5082878931494166	-1.0	1.0	2.0
1.5124859721563233	2.2876138159696584	-1.0	1.0	2.0
2.0532705108296865	4.215919790642801	-1.0	1.0	2.0
2.5124859721563215	6.312585760282296	-1.0	1.0	2.0
2.540784538673363	6.455586071961615	-1.0	1.0	2.0
3.0000000000000018	9.00000000000001	-1.0	1.0	2.0
3.540784538673364	12.537155149308347	-1.0	1.0	2.0
-5.053270510829689	25.535542855620946	-1.5	2.25	3.0
-3.7689082674358243	14.204669528346107	-1.5	2.25	3.0
-3.5407845386733587	12.53715514930831	-1.5	2.25	3.0
-3.2813942395921405	10.767548155628482	-1.5	2.25	3.0
-3.0532705108296847	9.322460812302165	-1.5	2.25	3.0
-2.7406097009187835	7.510941532770144	-1.5	2.25	3.0
-2.5124859721563206	6.312585760282292	-1.5	2.25	3.0
-2.281394239592145	5.204759676444221	-1.5	2.25	3.0
-2.0532705108296794	4.215919790642772	-1.5	2.25	3.0
-1.7689082674358243	3.1290364586028097	-1.5	2.25	3.0
-1.2593902990812147	1.5860639254198714	-1.5	2.25	3.0
-1.2281237287624638	1.5082878931494177	-1.5	2.25	3.0
-0.7718762712375342	0.5957929780995594	-1.5	2.25	3.0
-0.7689082674358199	0.5912199237311543	-1.5	2.25	3.0
